action_taken,action_taken_name,agency_code,agency_abbr,agency_name,applicant_ethnicity,applicant_ethnicity_name,applicant_income_000s,applicant_race_1,applicant_race_name_1,applicant_sex,applicant_sex_name,census_tract_number,co_applicant_ethnicity,co_applicant_ethnicity_name,co_applicant_race_1,co_applicant_race_name_1,co_applicant_sex,co_applicant_sex_name,county_code,county_name,hoepa_status,hoepa_status_name,lien_status,lien_status_name,loan_purpose,loan_purpose_name,loan_type,loan_type_name,owner_occupancy,owner_occupancy_name,preapproval,preapproval_name,property_type,property_type_name,purchaser_type,purchaser_type_name,hud_median_family_income,loan_amount_000s,number_of_1_to_4_family_units,number_of_owner_occupied_units,minority_population,population,tract_to_msamd_income
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,4,Not applicable,,7,Not applicable,4,Not applicable,130.0,4,Not applicable,7,Not applicable,4,Not applicable,81.0,Kent County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),67000.0,154,1191.0,897.0,17.309999465942383,3484.0,90.9499969482422
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,50.0,5,White,2,Female,1273.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,146,1529.0,1168.0,14.229999542236328,4412.0,108.0999984741211
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",51.0,5,White,1,Male,,3,"Information not provided by applicant in mail, Internet, or telephone application",5,White,2,Female,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,0,Loan was not originated or was not sold in calendar year covered by register,,73,,,,,
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,1,Male,9708.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,123.0,Newaygo County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,2,Ginnie Mae (GNMA),55800.0,91,2200.0,1185.0,4.690000057220459,3051.0,78.47000122070312
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,109.0,5,White,1,Male,5591.0,2,Not Hispanic or Latino,5,White,2,Female,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),53500.0,92,1058.0,756.0,20.959999084472656,2447.0,151.80999755859375
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,80.0,5,White,1,Male,1345.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,2,Secured by a subordinate lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,50,1060.0,979.0,15.149999618530272,3063.0,147.5399932861328
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,203.0,5,White,1,Male,1562.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,321,2557.0,2130.0,12.56999969482422,6617.0,141.55999755859375
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,149.0,5,White,1,Male,20.05,2,Not Hispanic or Latino,5,White,2,Female,77.0,Kalamazoo County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",61800.0,263,1256.0,1084.0,27.440000534057617,4155.0,141.32000732421875
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",112.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",9505.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,137.0,Otsego County,2,Not a HOEPA loan,2,Secured by a subordinate lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,25,2606.0,1033.0,3.839999914169312,3150.0,109.41000366210938
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,135.0,3,Black or African American,1,Male,1969.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,246,1194.0,1059.0,36.7599983215332,3452.0,144.17999267578125
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,106.0,5,White,2,Female,6410.0,2,Not Hispanic or Latino,5,White,1,Male,147.0,St. Clair County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,275,1250.0,1199.0,5.380000114440918,3494.0,107.70999908447266
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,1,Hispanic or Latino,85.0,5,White,1,Male,2212.0,2,Not Hispanic or Latino,5,White,2,Female,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,104,2357.0,2052.0,12.050000190734863,6167.0,105.88999938964844
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,270.0,2,Asian,1,Male,1674.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,77,2031.0,1158.0,37.0,5600.0,66.7300033569336
1,Loan originated,1,OCC,Office of the Comptroller of the Currency,2,Not Hispanic or Latino,53.0,5,White,1,Male,603.01,5,No co-applicant,8,No co-applicant,5,No co-applicant,91.0,Lenawee County,2,Not a HOEPA loan,2,Secured by a subordinate lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,9,2171.0,1776.0,4.53000020980835,4984.0,143.63999938964844
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,2,Female,5990.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),53500.0,106,2001.0,1542.0,17.84000015258789,5561.0,127.36000061035156
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,62.0,5,White,2,Female,2239.0,2,Not Hispanic or Latino,5,White,1,Male,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,147,3093.0,2981.0,7.679999828338623,8059.0,133.52999877929688
3,Application denied by financial institution,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,163.0,5,White,1,Male,30.03,5,No co-applicant,8,No co-applicant,5,No co-applicant,77.0,Kalamazoo County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,61800.0,622,3082.0,2727.0,5.440000057220459,8314.0,182.8300018310547
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",51.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",2415.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,77,1110.0,910.0,24.8700008392334,3732.0,101.98999786376952
4,Application withdrawn by applicant,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,88.0,5,White,1,Male,4440.0,2,Not Hispanic or Latino,5,White,2,Female,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,88300.0,424,2777.0,2023.0,4.650000095367432,6166.0,133.89999389648438
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,1403.01,4,Not applicable,7,Not applicable,4,Not applicable,125.0,Oakland County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),79600.0,105,1009.0,491.0,36.7599983215332,3972.0,51.93000030517578
4,Application withdrawn by applicant,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,116.0,2,Asian,2,Female,113.01,2,Not Hispanic or Latino,2,Asian,1,Male,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,182,1694.0,1598.0,10.489999771118164,4851.0,107.4800033569336
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",77.0,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,5842.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,4,Not applicable,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,98,1000.0,607.0,36.18000030517578,3648.0,79.7699966430664
4,Application withdrawn by applicant,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,98.0,5,White,2,Female,4610.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,88300.0,315,2693.0,2332.0,3.900000095367432,7006.0,134.02999877929688
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,70.0,5,White,2,Female,9505.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,105.0,Mason County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,176,1583.0,869.0,12.770000457763672,3579.0,70.80999755859375
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,51.0,5,White,2,Female,13.0,2,Not Hispanic or Latino,5,White,1,Male,157.0,Tuscola County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,127,2010.0,1582.0,3.380000114440918,4851.0,90.2699966430664
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,378.0,2,Asian,1,Male,1752.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,79600.0,92,1909.0,994.0,15.699999809265137,4171.0,72.33999633789062
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,122.0,5,White,1,Male,8304.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,115.0,Monroe County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),71600.0,216,1614.0,1352.0,6.610000133514404,4007.0,95.45999908447266
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,49.0,3,Black or African American,2,Female,52.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,75.0,Jackson County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),60700.0,202,2695.0,2259.0,10.899999618530272,6466.0,149.08999633789062
3,Application denied by financial institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,,3,Black or African American,1,Male,5403.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,2,Not owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,22,1744.0,800.0,100.0,4591.0,69.33000183105469
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,60.0,5,White,2,Female,2600.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),6,"Commercial bank, savings bank or savings association",79600.0,147,1313.0,1198.0,15.289999961853027,3185.0,94.6999969482422
1,Loan originated,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,72.0,5,White,1,Male,12.0,2,Not Hispanic or Latino,5,White,2,Female,157.0,Tuscola County,2,Not a HOEPA loan,3,Not secured by a lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,3,1816.0,1472.0,3.309999942779541,4525.0,109.66999816894533
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,65.0,5,White,1,Male,2430.0,2,Not Hispanic or Latino,5,White,2,Female,99.0,Macomb County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),79600.0,127,1519.0,1380.0,10.199999809265137,4597.0,127.5
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,44.0,5,White,1,Male,324.02,5,No co-applicant,8,No co-applicant,5,No co-applicant,5.0,Allegan County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,121,1499.0,1186.0,11.010000228881836,3898.0,107.8499984741211
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,45.0,5,White,2,Female,2235.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,99.0,Macomb County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,98,556.0,561.0,8.260000228881836,1331.0,86.91999816894531
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,41.0,5,White,2,Female,1613.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,91,1577.0,1097.0,65.12000274658203,3610.0,68.33999633789062
3,Application denied by financial institution,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,35.0,5,White,1,Male,1302.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,155,2139.0,1755.0,5.130000114440918,5810.0,98.66999816894533
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,3,"Information not provided by applicant in mail, Internet, or telephone application",40.0,6,"Information not provided by applicant in mail, Internet, or telephone application",1,Male,2856.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,17.0,Bay County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),8,Affiliate institution,65900.0,159,2880.0,2332.0,6.710000038146973,7149.0,120.37999725341795
1,Loan originated,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,43.0,5,White,1,Male,5504.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,55.0,Grand Traverse County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,1,Fannie Mae (FNMA),55800.0,142,3019.0,2156.0,10.420000076293944,7056.0,127.68000030517578
6,Loan purchased by the institution,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,86.0,5,White,1,Male,5575.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,4,Not applicable,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),53500.0,264,1465.0,1305.0,4.409999847412109,3741.0,187.8000030517578
1,Loan originated,7,HUD,Department of Housing and Urban Development,3,"Information not provided by applicant in mail, Internet, or telephone application",130.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",63.04,3,"Information not provided by applicant in mail, Internet, or telephone application",6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",75.0,Jackson County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),60700.0,380,1617.0,978.0,3.289999961853028,2641.0,134.3300018310547
5,File closed for incompleteness,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,35.0,5,White,2,Female,617.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,91.0,Lenawee County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,127,2635.0,2067.0,25.15999984741211,9442.0,97.9800033569336
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,92.0,5,White,1,Male,1581.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,301,1132.0,986.0,18.32999992370605,3142.0,177.72999572753906
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,18.0,3,Black or African American,1,Male,1714.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,79600.0,60,2375.0,1691.0,72.31999969482422,6760.0,79.04000091552734
3,Application denied by financial institution,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,92.0,5,White,1,Male,5980.0,2,Not Hispanic or Latino,5,White,2,Female,163.0,Wayne County,2,Not a HOEPA loan,2,Secured by a subordinate lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,25,1203.0,909.0,8.210000038146973,3227.0,121.93000030517578
6,Loan purchased by the institution,7,HUD,Department of Housing and Urban Development,4,Not applicable,,7,Not applicable,4,Not applicable,112.09,4,Not applicable,7,Not applicable,4,Not applicable,49.0,Genesee County,2,Not a HOEPA loan,4,Not applicable,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),1,Fannie Mae (FNMA),53700.0,140,2035.0,1740.0,16.209999084472656,6214.0,144.6999969482422
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,57.0,5,White,2,Female,4033.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,161.0,Washtenaw County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,88300.0,218,1424.0,1176.0,24.76000022888184,4148.0,96.08000183105467
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,,5,White,1,Male,9704.0,2,Not Hispanic or Latino,5,White,2,Female,123.0,Newaygo County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,3,VA-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),2,Ginnie Mae (GNMA),55800.0,88,2142.0,1641.0,8.710000038146973,5199.0,111.9000015258789
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,49.0,5,White,1,Male,114.06,5,No co-applicant,8,No co-applicant,5,No co-applicant,81.0,Kent County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),67000.0,102,574.0,401.0,44.34000015258789,5785.0,49.459999084472656
3,Application denied by financial institution,1,OCC,Office of the Comptroller of the Currency,3,"Information not provided by applicant in mail, Internet, or telephone application",64.0,6,"Information not provided by applicant in mail, Internet, or telephone application",3,"Information not provided by applicant in mail, Internet, or telephone application",5385.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,2,Home improvement,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,35,2390.0,1102.0,99.70999908447266,5154.0,71.30000305175781
4,Application withdrawn by applicant,9,CFPB,Consumer Financial Protection Bureau,2,Not Hispanic or Latino,214.0,5,White,1,Male,104.01,2,Not Hispanic or Latino,5,White,2,Female,15.0,Barry County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,67000.0,312,1776.0,1060.0,6.989999771118164,3318.0,96.5999984741211
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,58.0,5,White,2,Female,313.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,5.0,Allegan County,2,Not a HOEPA loan,1,Secured by a first lien,3,Refinancing,2,FHA-insured,1,Owner-occupied as a principal dwelling,3,Not applicable,2,Manufactured housing,2,Ginnie Mae (GNMA),55800.0,49,1861.0,1485.0,11.510000228881836,4917.0,116.22000122070312
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,36.0,5,White,2,Female,121.0,2,Not Hispanic or Latino,5,White,1,Male,145.0,Saginaw County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,4,FSA/RHS-guaranteed,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),7,"Life insurance company, credit union, mortgage bank, or finance company",57300.0,93,1532.0,1299.0,7.21999979019165,4058.0,125.01000213623048
1,Loan originated,5,NCUA,National Credit Union Administration,2,Not Hispanic or Latino,68.0,5,White,2,Female,9704.0,5,No co-applicant,8,No co-applicant,5,No co-applicant,123.0,Newaygo County,2,Not a HOEPA loan,2,Secured by a subordinate lien,3,Refinancing,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,55800.0,61,2142.0,1641.0,8.710000038146973,5199.0,111.9000015258789
2,Application approved but not accepted,3,FDIC,Federal Deposit Insurance Corporation,2,Not Hispanic or Latino,37.0,5,White,1,Male,5569.0,2,Not Hispanic or Latino,5,White,2,Female,163.0,Wayne County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,3,Not applicable,1,One-to-four family dwelling (other than manufactured housing),0,Loan was not originated or was not sold in calendar year covered by register,53500.0,191,1385.0,1332.0,17.459999084472656,3804.0,161.00999450683594
1,Loan originated,7,HUD,Department of Housing and Urban Development,2,Not Hispanic or Latino,95.0,5,White,1,Male,1835.0,2,Not Hispanic or Latino,5,White,2,Female,125.0,Oakland County,2,Not a HOEPA loan,1,Secured by a first lien,1,Home purchase,1,Conventional,1,Owner-occupied as a principal dwelling,2,Preapproval was not requested,1,One-to-four family dwelling (other than manufactured housing),3,Freddie Mac (FHLMC),79600.0,193,800.0,408.0,23.799999237060547,2130.0,97.0500030517578
